xorazmcha;adabiycha;turkumi;xorazmcha;adabiycha;ko`plik/birlik;egalik/shaxs-son;zamon;kelishik
Zo?ntik;Soyabon;;;;;;;
Zako?lka;Qisqich;;;;;;;
Zo?ra;Zuhra;;;;;;;
Zingzing;Injiq;;;;;;;
Ziyo;Uvol;;;;;;;
Zinjir;Zanjir;;;;;;;
Zukl;Zuluk;;;;;;;
Zo?na;Tretoriya;;;;;;;
Zoqqim;Achchiq;;;;;;;
Zar;Zahar;;;;;;;
Zapis;Ovoz;;;;;;;
Zing;Ket;;;;;;;
Zuq;Ovoz;;;;;;;
Zangngi;Narvon;;;;;;;
Zakash;Zahkash;;;;;;;
Zing;ot;;;;;;;
Zomoriq;Qo?ziqorin;;;;;;;
Zinaq;Belgi;;;;;;;
Zaqo?nniy;Zo?r;;;;;;;
Zarda;Zardob;;;;;;;
Zada;Ezib yubormoq;;;;;;;
Zaqska;Gazak;;;;;;;
Zvanoq;Qo?ng?iroq;;;;;;;
Zamoq;Kulf;;;;;;;
Qiytar;G?ilay;;;;;;;
Qizma;Qizig?on;;;;;;;
Qotma;Kekkaygan;;;;;;;
Bir;Bir;;;;;;;
Iki ;Ikki ;;;;;;;
Do`rt;To`rt;;;;;;;
Qirq;Qirq;;;;;;;
on;o`n;;;;;;;
yeddi;yetti;;;;;;;
Qirq yeddi;Qirq yetti;;;;;;;
Saksan bir;Sakson bir;;;;;;;
Do`qsan;To`qson;;;;;;;
Do`qsan olti;To`qson olti;;;;;;;
Laklayan;Lak;;;;;;;
Duman;Tuman;;;;;;;
Sakiz;Sakkiz;;;;;;;
Put;Pud;;;;;;;
punt;Funt;;;;;;;
gaz;gaz;;;;;;;
so`tik;tanob;;;;;;;
yag`in;quloch;;;;;;;
o`vuch;qadoq;;;;;;;
sher;sher;;;;;;;
kuro`x;kuro`x;;;;;;;
taxta;yig`och;;;;;;;
qari;qari;;;;;;;
sal uzoq;chaqirim;;;;;;;
az;misqol;;;;;;;
katta;botmon;;;;;;;
sat;para;;;;;;;
gruppa;gala;;;;;;;
qisim;siqim;;;;;;;
alli;ellik;;;;;;;
qirq uch;qirq uch;;;;;;;
otmish;oltmish;;;;;;;
otmish iki;oltmish ikki;;;;;;;
otmish besh;oltmish besh;;;;;;;
yetmish bir;yetmish bir;;;;;;;
do`qsan do`qqiz;to`qson to`qqiz;;;;;;;
yuz;yuz;;;;;;;
bir yuz on;bir yuz o`n;;;;;;;
do‘rt yuz yetmish iki;to‘rt yuz yetmish ikki;;;;;;;
on do‘qqiz;o‘n to‘qqiz;;;;;;;
 sakiz yuz otmish uch; sakkiz yuz oltmish uch;;;;;;;
besh yuz yeddi;besh yuz yetti;;;;;;;
ikki yuz qirq bir;ikki yuz qirq bir;;;;;;;
olti yuz do‘qsan;olti yuz to‘qson;;;;;;;
o‘tiz sakiz;o‘ttiz sakkiz;;;;;;;
do‘qqiz yuz on besh;to‘qqiz yuz o‘n besh;;;;;;;
bir yuz yirma olti;bir yuz yigirma olti;;;;;;;
yeddi yuz yetmish do‘rt;yetti yuz yetmish to‘rt;;;;;;;
 alli sakiz; ellik sakkiz;;;;;;;
 uch yuz o‘ttiz iki; uch yuz o‘ttiz ikki;;;;;;;
do‘qqiz yuz do‘rt;to‘qqiz yuz to‘rt;;;;;;;
ikki yuz o‘n yeddi;ikki yuz o‘n yetti;;;;;;;
olti yuz saksan do‘qqiz;olti yuz sakson to‘qqiz;;;;;;;
 do‘rt yuz alli; to‘rt yuz ellik;;;;;;;
sakiz yuz yirma uch;sakkiz yuz yigirma uch;;;;;;;
yetmish bir;yetmish bir;;;;;;;
do‘qqiz yuz do‘qsan uch;to‘qqiz yuz to‘qson uch;;;;;;;
bir yuz otmish do‘rt;bir yuz oltmish to‘rt;;;;;;;
besh yuz saksan iki;besh yuz sakson ikki;;;;;;;
uch yuz besh;uch yuz besh;;;;;;;
yeddi yuz qirq yeddi;yetti yuz qirq yetti;;;;;;;
do‘qqiz yuz yigirma sakkiz;to‘qqiz yuz yigirma sakkiz;;;;;;;
saksan olti;sakson olti;;;;;;;
 olti yuz o‘tiz do‘qqiz; olti yuz o‘ttiz to‘qqiz;;;;;;;
do‘rt yuz do‘qson iki;to‘rt yuz to‘qson ikki;;;;;;;
uch yuz yetmish uch;uch yuz yetmish uch;;;;;;;
 do‘qqiz yuz on bir; to‘qqiz yuz o‘n bir;;;;;;;
bir yuz alli yeddi;bir yuz ellik yetti;;;;;;;
olti yuz do‘rt;olti yuz to‘rt;;;;;;;
iki yuz saksan sakiz;ikki yuz sakson sakkiz;;;;;;;
yeddi yuz oltmish;yetti yuz oltmish;;;;;;;
do‘rt yuz qirq iki;to‘rt yuz qirq ikki;;;;;;;
alli olti;ellik olti;;;;;;;
do‘qqiz yuz saksan do‘rt;to‘qqiz yuz sakson to‘rt;;;;;;;
uch yuz yirma to‘qqiz;uch yuz yigirma to‘qqiz;;;;;;;
yeddi yuz uch;yetti yuz uch;;;;;;;
bir yuz on sakiz;bir yuz o‘n sakkiz;;;;;;;
besh yuz qirq yeddi;besh yuz qirq yetti;;;;;;;
sakiz yuz yetmish do‘qqiz;sakkiz yuz yetmish to‘qqiz;;;;;;;
ikki yuz yirma bir;ikki yuz yigirma bir;;;;;;;
olti yuz on besh;olti yuz o‘n besh;;;;;;;
do‘qqiz yuz qirq;to‘qqiz yuz qirq;;;;;;;
qirq do‘rt;qirq to‘rt;;;;;;;
besh yuz sakiz;besh yuz sakkiz;;;;;;;
uch yuz otmish yeddi;uch yuz oltmish yetti;;;;;;;
do‘qqiz yuz do‘qson;to‘qqiz yuz to‘qson;;;;;;;
bir yuz o‘ttiz do‘rt;bir yuz o‘ttiz to‘rt;;;;;;;
olti yuz to‘qson ikki;olti yuz to‘qson ikki;;;;;;;
do‘rt yuz yirma olti;to‘rt yuz yigirma olti;;;;;;;
sakiz yuz yetmish bir;sakkiz yuz yetmish bir;;;;;;;
 iki yuz besh; ikki yuz besh;;;;;;;
 olti yuz o‘tiz bir; olti yuz o‘ttiz bir;;;;;;;
uch yuz o‘n olti;uch yuz o‘n olti;;;;;;;
yeddi yuz otmish sakiz;yetti yuz oltmish sakkiz;;;;;;;
alli do‘qqiz;ellik to‘qqiz;;;;;;;
do‘qqiz yuz alli do‘rt;to‘qqiz yuz ellik to‘rt;;;;;;;
do‘rt yuz sakson uch;to‘rt yuz sakson uch;;;;;;;
uch yuz do‘qson;uch yuz to‘qson;;;;;;;
sakiz yuz yirma yeddi;sakkiz yuz yigirma yetti;;;;;;;
bir yuz iki;bir yuz ikki;;;;;;;
besh yuz otmish sakiz;besh yuz oltmish sakkiz;;;;;;;
yeddi yuz qirq bir;yetti yuz qirq bir;;;;;;;
uch yuz o‘tiz uch;uch yuz o‘ttiz uch;;;;;;;
do‘qqiz yuz yirma;to‘qqiz yuz yigirma;;;;;;;
yetmish olti;yetmish olti;;;;;;;
olti yuz alli do‘rt;olti yuz ellik to‘rt;;;;;;;
besh yuz bir;besh yuz bir;;;;;;;
uch yuz saksan do‘qqiz;uch yuz sakson to‘qqiz;;;;;;;
sakiyuz yetmish uch;sakkiz yuz yetmish uch;;;;;;;
bir yuz qirq iki;bir yuz qirq ikki;;;;;;;
 yeddi yuz on olti; yetti yuz o‘n olti;;;;;;;
iki yuz yetmish do‘rt;ikki yuz yetmish to‘rt;;;;;;;
do‘qqiz yuz otmish besh;to‘qqiz yuz oltmish besh;;;;;;;
o‘tiz yeddi;o‘ttiz yetti;;;;;;;
besh yuz alli iki;besh yuz ellik ikki;;;;;;;
 sakiyuz bir; sakkiz yuz bir;;;;;;;
iki yuz qirq do‘qqiz;ikki yuz qirq to‘qqiz;;;;;;;
man;men;;;;;;;
san;sen;;;;;;;
vu;u;;;;;;;
biz;biz;;;;;;;
siz;siz;;;;;;;
vula;ular;;;;;;;
o‘zim;o‘zim;;;;;;;
o‘zing;o‘zing;;;;;;;
o‘zi;o‘zi;;;;;;;
o‘zimiz;o‘zimiz;;;;;;;
o‘ziz;o‘zingiz;;;;;;;
o‘zari;o‘zlari;;;;;;;
shu;shu;;;;;;;
ana;ana;;;;;;;
mana;mana;;;;;;;
shi;usha;;;;;;;
bu;bu;;;;;;;
v;u;;;;;;;
shla;shular;;;;;;;
blo;bular;;;;;;;
vulo;ular;;;;;;;
shuncha;shuncha;;;;;;;
munchalli;bunchalik;;;;;;;
uncha;uncha;;;;;;;
nichadir;qanchadir;;;;;;;
nichcha;qancha;;;;;;;
kim;kim;;;;;;;
novi;nima;;;;;;;
qoysi;qaysi;;;;;;;
nichik;qanday;;;;;;;
nichik;qanaqa;;;;;;;
qoni;qani;;;;;;;
biro`;kimdir;;;;;;;
kim bo`lsam;kimki;;;;;;;
hech kim;kimsa;;;;;;;
hech kim;hech kim;;;;;;;
hech novi;hech narsa;;;;;;;
hech qaysi;hech qaysi;;;;;;;
hech nichik;hech qanday;;;;;;;
hech nichcha;hech qancha;;;;;;;
hech kim bo`lsa;hech kimki;;;;;;;
bir;biror;;;;;;;
bir;biron;;;;;;;
birdana;bironta;;;;;;;
nichikdir;biron-bir;;;;;;;
birov;biror kimsa;;;;;;;
bir vaj;biror narsa;;;;;;;
ko`p;bir qancha;;;;;;;
shi;shunisi;;;;;;;
bi;bunisi;;;;;;;
vi;unisi;;;;;;;
sho`rdeyi;shundagi;;;;;;;
vundeyi;undagi;;;;;;;
mndeyi;bundagi;;;;;;;
bashqa;boshqa;;;;;;;
yot;o‘zga;;;;;;;
ba’zi;ba’zi;;;;;;;
ayrim;ayrim;;;;;;;
har kim;har kim;;;;;;;
hamma;har qanday;;;;;;;
hammasi;har narsa;;;;;;;
nichchaklim;har qancha;;;;;;;
hamma;hamma;;;;;;;
hamma;barcha;;;;;;;
hamma;bari;;;;;;;
shu;o‘sha;;;;;;;
shunde;shunday;;;;;;;
mnde;bunday;;;;;;;
vnde;unday;;;;;;;
shuni;shunisi;;;;;;;
blani;bularning;;;;;;;
shlani;shularning;;;;;;;
vunisini;unisining;;;;;;;
berda;bu yerda (ko‘rsatish);;;;;;;
verda;u yerda;;;;;;;
inabi;mana bu;;;;;;;
inavi;ana u;;;;;;;
b adamm;bu odam;;;;;;;
shi adan;o‘sha odam;;;;;;;
kimni;kimning;;;;;;;
novini;nimaning;;;;;;;
qaysini;qaysining;;;;;;;
shincha-mncha;shuncha-muncha;;;;;;;
bir-ikki ;bir-ikki (umumlashma);;;;;;;
har kimni;har kimning;;;;;;;
hamma vajni;har narsaning;;;;;;;
hechnovini;hech nimaning;;;;;;;
boshqala;boshqalar;;;;;;;
o‘zgalarini;o‘zgalarning;;;;;;;
vlani;ularning;;;;;;;
bizani;bizning;;;;;;;
mani;mening;;;;;;;
sani;sening;;;;;;;
shni;shuning;;;;;;;
bini;buning;;;;;;;
vni;unining;;;;;;;
hech bir;hech bir;;;;;;;
hech qaysini;birontasining;;;;;;;
boshqalanikindan;o‘zgalarnikidan;;;;;;;
vuni;uning;;;;;;;
Alisher;Alisher;;;;;;;
Zubayda;Zubayda;;;;;;;
Muhammat;Muhammad;;;;;;;
Ahmat;Ahmad;;;;;;;
Dilshot;Dilshod;;;;;;;
Farhot;Farhod;;;;;;;
Nodira;Nodira;;;;;;;
Gulsanam;Gulsanam;;;;;;;
Komila;Komila;;;;;;;
Asadbek;Asadbek;;;;;;;
Otabek;Otabek;;;;;;;
Shavkat;Shavkat;;;;;;;
Sarvar;Sarvar;;;;;;;
Azizbek;Azizbek;;;;;;;
Ruxshona;Ruxshona;;;;;;;
Lola;Lola;;;;;;;
Kamola;Kamola;;;;;;;
Shaxriyor;Shaxriyor;;;;;;;
Behruz;Behruz;;;;;;;
Islombek;Islombek;;;;;;;
Tashkent;Toshkent;;;;;;;
Samarqand;Samarqand;;;;;;;
Buxoro;Buxoro;;;;;;;
Namangan;Namangan;;;;;;;
Farg‘ona;Farg‘ona;;;;;;;
Andijon;Andijon;;;;;;;
Xiva;Xiva;;;;;;;
No`kis;Nukus;;;;;;;
Termiz;Termiz;;;;;;;
Qarshi;Qarshi;;;;;;;
O‘zbekiston;O‘zbekiston;;;;;;;
Qazaqiston;Qozog‘iston;;;;;;;
Qirg‘iziston;Qirg‘iziston;;;;;;;
Turkmaniston;Turkmaniston;;;;;;;
Tojikiston;Tojikiston;;;;;;;
Turkiya;Turkiya;;;;;;;
Rossiya;Rossiya;;;;;;;
Xitoy;Xitoy;;;;;;;
AQSH;AQSH;;;;;;;
Yaponiya;Yaponiya;;;;;;;
Amudaryo;Amudaryo;;;;;;;
Sirdaryo;Sirdaryo;;;;;;;
Zarafshon;Zarafshon;;;;;;;
Nil;Nil;;;;;;;
Amazon;Amazonka;;;;;;;
Volga;Volga;;;;;;;
Dunay;Dunay;;;;;;;
Temza;Temza;;;;;;;
Gang;Gang;;;;;;;
Yantsi;Yantszi;;;;;;;
Orol;Orol;;;;;;;
Balxash;Balxash;;;;;;;
Baikal;Baikal;;;;;;;
Viqtoriya;Victoria;;;;;;;
Michigan;Michigan;;;;;;;
Titikaka;Titikaka;;;;;;;
Issiko‘l;Issiqko‘l;;;;;;;
Kasbiy;Kaspiy;;;;;;;
Qara dengiz;Qora dengiz;;;;;;;
Oq dengiz;Oq dengiz;;;;;;;
Pomir;Pomir;;;;;;;
Himolay;Himolay;;;;;;;
Tyan-Shan;Tyan-Shan;;;;;;;
Everest;Everest;;;;;;;
Ararat;Ararat;;;;;;;
Kilimanjaro;Kilimanjaro;;;;;;;
Elbrus;Elbrus;;;;;;;
Alpomish (epos qahramoni);Alpomish (epos qahramoni);;;;;;;
Rustam;Rustam;;;;;;;
Siyovush;Siyovush;;;;;;;
Alisher Navoiy;Alisher Navoiy;;;;;;;
Bobur;Bobur;;;;;;;
Mirzo Ulug‘bek;Mirzo Ulug‘bek;;;;;;;
Beruniy;Beruniy;;;;;;;
Ibn Sino;Ibn Sino;;;;;;;
Amir Temur;Amir Temur;;;;;;;
Zahiriddin Muhammad Bobur;Zahiriddin Muhammad Bobur;;;;;;;
Leanardo` davenchi;Leonardo da Vinci;;;;;;;
Albert Enshteyin;Albert Einstein;;;;;;;
Nyuton;Newton;;;;;;;
O‘zbekiston Milliy Universiteti;O‘zbekiston Milliy Universiteti;;;;;;;
Jahon Banki;Jahon Banki;;;;;;;
BMT;BMT;;;;;;;
YUNESKO;YUNESKO;;;;;;;
Gugl;Google;;;;;;;
Miqrosoft;Microsoft;;;;;;;
Tesla;Tesla;;;;;;;
Speysiqs;SpaceX;;;;;;;
epl;Apple;;;;;;;
Amazon;Amazon;;;;;;;
Arsenal;Arsenal;;;;;;;
Real Madrid;Real Madrid;;;;;;;
Barselona;Barcelona;;;;;;;
Bayrn;Bayern;;;;;;;
yuvent;Juventus;;;;;;;
Inter;Inter;;;;;;;
Milan;Milan;;;;;;;
Livrpul;Liverpool;;;;;;;
Chels;Chelsea;;;;;;;
PSG;PSG;;;;;;;
Efir minorasi;Eiffel minorasi;;;;;;;
Big Ben;Big Ben;;;;;;;
Burj Xalifa;Burj Xalifa;;;;;;;
Oqsaroy;Oqsaroy;;;;;;;
Registon;Registon;;;;;;;
Minorayi Kalon;Minorai Kalon;;;;;;;
Ulug‘bek rasadxonasi;Ulug‘bek rasadxonasi;;;;;;;
Bibixonim machiti;Bibixonim masjidi;;;;;;;
Oq uy;Oq uy;;;;;;;
Vatikan;Vatikan;;;;;;;
Makka;Mekka;;;;;;;
Madina;Medina;;;;;;;
Quddus;Quddus;;;;;;;
London;London;;;;;;;
Parij;Parij;;;;;;;
Berlin;Berlin;;;;;;;
Seul;Seul;;;;;;;
Riyod;Riyod;;;;;;;
tez;tez;;;;;;;
birdan;birdan;;;;;;;
oston;asta;;;;;;;
ostan;sekin;;;;;;;
yena;yana;;;;;;;
holi;hali;;;;;;;
hozi;hozir;;;;;;;
aqsham;kecha;;;;;;;
buyun;bugun;;;;;;;
ertang;ertaga;;;;;;;
ozroq;biroz;;;;;;;
opshi;butunlay;;;;;;;
hamma vaqt;hamisha;;;;;;;
orasira;ba'zan;;;;;;;
shundek;shundoq;;;;;;;
darrov;darrov;;;;;;;
chaqqan;tez-tez;;;;;;;
eng;eng;;;;;;;
ina;nihoyat;;;;;;;
juda;juda;;;;;;;
sal;sal;;;;;;;
ozroq;bir oz;;;;;;;
haqiqatdan;chindan;;;;;;;
balkim;balki;;;;;;;
ava;albatta;;;;;;;
nachundir;negadir;;;;;;;
bekor;bekor;;;;;;;
prosta;shunchaki;;;;;;;
dmey;bamisoli;;;;;;;
ayniqso;ayniqsa;;;;;;;
ko‘pincha;ko‘pincha;;;;;;;
hamma vaqt;doimo;;;;;;;
tezraq;tezroq;;;;;;;
yaxshiraq;yaxshiroq;;;;;;;
ilondin;ilonday;;;;;;;
birdan;birdaniga;;;;;;;
bilagir;sezgirroq;;;;;;;
daparoq;balandroq;;;;;;;
yaqinraq;yaqinroq;;;;;;;
uzoqa;uzoqqa;;;;;;;
dapaya;yuqoriga;;;;;;;
pastga;pastga;;;;;;;
ichkariga;ichkariga;;;;;;;
tashqariga;tashqariga;;;;;;;
yoninda;yonma-yon;;;;;;;
birga;birga;;;;;;;
aval;avval;;;;;;;
keyin;keyin;;;;;;;
yo bo`lmasa;yana-da;;;;;;;
baribir;baribir;;;;;;;
vapshe eta;mutlaqo;;;;;;;
rastanam;shubhasiz;;;;;;;
tarsaki;teskari;;;;;;;
cheta;chetga;;;;;;;
o`g`rincha;zimdan;;;;;;;
yaling;yashindek;;;;;;;
dapaya;tepaga;;;;;;;
pasroq;pastlay;;;;;;;
qistanib;shoshib;;;;;;;
bir o`zi;yolg‘iz;;;;;;;
novindan;nimadandir;;;;;;;
yungul;yengilgina;;;;;;;
do`ppa do`g`ri;to‘ppa-to‘g‘ri;;;;;;;
dm;g‘oyat;;;;;;;
tez;favqulodda;;;;;;;
yenam;behad;;;;;;;
mos;mos ravishda;;;;;;;
birdan;birvarakayiga;;;;;;;
shundelay;bevosita;;;;;;;
;;;;;;;;
